"","date_full","day","hour","sonde","value","variety","culture","rep"
"198","09.11.2022 20:30","09.11.2022","20:30:00","T_1",9.977544,"OUT","OUT","OUT"
"199","09.11.2022 20:45","09.11.2022","20:45:00","T_1",9.957556,"OUT","OUT","OUT"
"200","09.11.2022 21:00","09.11.2022","21:00:00","T_1",10.057496,"OUT","OUT","OUT"
"201","09.11.2022 21:15","09.11.2022","21:15:00","T_1",10.077484,"OUT","OUT","OUT"
"202","09.11.2022 21:30","09.11.2022","21:30:00","T_1",9.797652,"OUT","OUT","OUT"
"203","09.11.2022 21:45","09.11.2022","21:45:00","T_1",9.537808,"OUT","OUT","OUT"
"204","09.11.2022 22:00","09.11.2022","22:00:00","T_1",9.31794,"OUT","OUT","OUT"
"205","09.11.2022 22:15","09.11.2022","22:15:00","T_1",9.237988,"OUT","OUT","OUT"
"206","09.11.2022 22:30","09.11.2022","22:30:00","T_1",9.36791,"OUT","OUT","OUT"
"207","09.11.2022 22:45","09.11.2022","22:45:00","T_1",9.56779,"OUT","OUT","OUT"
"208","09.11.2022 23:00","09.11.2022","23:00:00","T_1",9.587778,"OUT","OUT","OUT"
"209","09.11.2022 23:15","09.11.2022","23:15:00","T_1",9.36791,"OUT","OUT","OUT"
"210","09.11.2022 23:30","09.11.2022","23:30:00","T_1",9.16803,"OUT","OUT","OUT"
"211","09.11.2022 23:45","09.11.2022","23:45:00","T_1",9.028114,"OUT","OUT","OUT"
"212","10.11.2022 00:00","10.11.2022","00:00:00","T_1",8.91818,"OUT","OUT","OUT"
"213","10.11.2022 00:15","10.11.2022","00:15:00","T_1",8.91818,"OUT","OUT","OUT"
"214","10.11.2022 00:30","10.11.2022","00:30:00","T_1",9.198012,"OUT","OUT","OUT"
"215","10.11.2022 00:45","10.11.2022","00:45:00","T_1",9.06809,"OUT","OUT","OUT"
"216","10.11.2022 01:00","10.11.2022","01:00:00","T_1",8.808246,"OUT","OUT","OUT"
"217","10.11.2022 01:15","10.11.2022","01:15:00","T_1",9.008126,"OUT","OUT","OUT"
"218","10.11.2022 01:30","10.11.2022","01:30:00","T_1",9.36791,"OUT","OUT","OUT"
"219","10.11.2022 01:45","10.11.2022","01:45:00","T_1",9.76767,"OUT","OUT","OUT"
"220","10.11.2022 02:00","10.11.2022","02:00:00","T_1",9.76767,"OUT","OUT","OUT"
"221","10.11.2022 02:15","10.11.2022","02:15:00","T_1",9.387898,"OUT","OUT","OUT"
"222","10.11.2022 02:30","10.11.2022","02:30:00","T_1",9.427874,"OUT","OUT","OUT"
"223","10.11.2022 02:45","10.11.2022","02:45:00","T_1",9.837628,"OUT","OUT","OUT"
"224","10.11.2022 03:00","10.11.2022","03:00:00","T_1",9.66773,"OUT","OUT","OUT"
