date;experiment_type;Sampling_campain;variety;culture;bloc;sample_type;Sample ID;Glucoraphanin;Progoitrin isomer;Glucoalyssin;Gluconapoleiferin;Gluconapin;Butyl-GS;Glucobrassicanapin;Glucobrassicin;Gluconasturtiin;Methoxyglucobrassicin;Neoglucobrassicin;Unknown GLS (C16H20N2O11S2);total 
16.05.2022;glasshouse;GH_AF;Ma;As;1;feuille;230109_IH_GLS_sample_2-12;1.721518987;29.72151899;23.72151899;3.518987342;18.88607595;1.493670886;37.13924051;57.94936709;20.60759494;6.860759494;6.708860759;15.06329114;223.3924051
16.05.2022;glasshouse;GH_AF;An;As;1;feuille;230109_IH_GLS_sample_2-13;2.043222004;24.24361493;14.10609037;2.907662083;10.72691552;1.532416503;18.93909627;67.07269155;20.27504912;8.055009823;5.540275049;22.6719057;198.1139489
16.05.2022;glasshouse;GH_AF;An;As;1;feuille;230109_IH_GLS_sample_2-14;2.126929674;60.7890223;51.97255575;7.958833619;34.78559177;3.293310463;113.0017153;94.0651801;28.64493997;9.879931389;4.425385935;27.30703259;438.2504288
16.05.2022;glasshouse;GH_AF;Fe;As;2;feuille;230109_IH_GLS_sample_2-15;1.056338028;43.27464789;12.35915493;5.387323944;24.71830986;1.021126761;81.44366197;65.77464789;17.42957746;8.591549296;7.35915493;13.5915493;282.0070423
16.05.2022;glasshouse;GH_AF;Fe;As;2;feuille;na;na;na;na;na;na;na;na;na;na;na;na;na;0
16.05.2022;glasshouse;GH_AF;Ma;Mo;2;feuille;230109_IH_GLS_sample_2-17;2.706766917;39.73684211;50.45112782;4.661654135;31.5037594;2.593984962;43.23308271;103.2330827;26.76691729;13.4962406;20.56390977;21.05263158;360
16.05.2022;glasshouse;GH_AF;Ma;Mo;2;feuille;230109_IH_GLS_sample_2-18;3.006535948;72.94117647;61.49019608;10.90196078;25.9869281;3.058823529;84.41830065;208.2614379;28.41830065;19.18954248;10.16993464;28.65359477;556.496732
16.05.2022;glasshouse;GH_AF;An;Mo;2;feuille;230109_IH_GLS_sample_2-19;5.297504798;24.99040307;20.80614203;3.186180422;20.69097889;1.497120921;16.69865643;106.2571977;31.47792706;21.15163148;5.527831094;47.06333973;304.6449136
16.05.2022;glasshouse;GH_AF;An;Mo;2;feuille;230109_IH_GLS_sample_2-20;2.612903226;22.58064516;18.06451613;3.35483871;23.38709677;1.870967742;32.80645161;86.29032258;15;11.51612903;3.419354839;23.61290323;244.516129
16.05.2022;glasshouse;GH_AF;Fe;Mo;3;feuille;230109_IH_GLS_sample_2-21;4.603960396;33.21782178;12.5990099;4.48019802;16.11386139;1.757425743;32.25247525;66.78217822;25.69306931;11.23762376;4.603960396;22.82178218;236.1633663
16.05.2022;glasshouse;GH_AF;Fe;Mo;3;feuille;230110_IH_GLS_sample_2-22;1.19047619;27.70833333;11.875;4.017857143;21.07142857;0.654761905;47.82738095;60.68452381;21.39880952;7.648809524;6.607142857;16.30952381;226.9940476
16.05.2022;glasshouse;GH_AF;Ma;Mo;3;feuille;230110_IH_GLS_sample_2-23;3.392330383;53.53982301;63.48082596;9.026548673;47.05014749;6.342182891;99.0560472;106.460177;35.25073746;9.911504425;6.401179941;32.24188791;472.1533923
16.05.2022;glasshouse;GH_AF;Ma;Mo;3;feuille;230110_IH_GLS_sample_2-24;3.60446571;60.4784689;58.30940989;3.03030303;43.41307815;1.945773525;56.45933014;51.00478469;21.94577352;5.071770335;2.296650718;23.476874;331.0366826
16.05.2022;glasshouse;GH_AF;Fe;Mo;1;feuille;230110_IH_GLS_sample_2-25;0.994035785;38.17097416;9.30417495;4.413518887;25.00994036;1.11332008;70.93439364;73.28031809;17.17693837;7.952286282;4.930417495;13.35984095;266.640159
16.05.2022;glasshouse;GH_AF;Fe;Mo;1;feuille;230110_IH_GLS_sample_2-26;1.762917933;41.24620061;9.90881459;6.048632219;13.89057751;1.155015198;46.80851064;61.12462006;20.72948328;7.507598784;3.373860182;27.59878419;241.1550152
16.05.2022;glasshouse;GH_AF;Ma;Mo;1;feuille;230110_IH_GLS_sample_2-27;4.319371728;40.70680628;33.16753927;4.816753927;18.03664921;2.722513089;39.05759162;48.71727749;24.37172775;5.628272251;3.507853403;34.16230366;259.2146597
16.05.2022;glasshouse;GH_AF;Ma;Mo;1;feuille;230110_IH_GLS_sample_2-28;2.522522523;39.53153153;51.27927928;6.234234234;39.42342342;2.630630631;73.62162162;67.71171171;17.62162162;5.513513514;2.09009009;25.2972973;333.4774775
16.05.2022;glasshouse;GH_AF;An;Mo;1;feuille;230110_IH_GLS_sample_2-29;8.017751479;35.14792899;15.1183432;5.680473373;15.17751479;1.449704142;26.21301775;84.28994083;29.58579882;9.49704142;4.349112426;30.29585799;264.8224852
16.05.2022;glasshouse;GH_AF;An;Mo;1;feuille;230110_IH_GLS_sample_2-30;2.593250444;40.07104796;19.92895204;3.161634103;23.26820604;2.1669627;42.94849023;78.18827709;14.42273535;14.4937833;2.451154529;25.39964476;269.0941385
16.05.2022;glasshouse;GH_AF;Fe;Mo;2;feuille;230110_IH_GLS_sample_2-31;1.075697211;48.76494024;14.46215139;7.330677291;38.96414343;1.992031873;118.1673307;75.77689243;25.33864542;6.454183267;3.74501992;21.39442231;363.4661355
16.05.2022;glasshouse;GH_AF;Fe;Mo;2;feuille;230110_IH_GLS_sample_2-32;0.773993808;55.63467492;7.708978328;7.925696594;18.91640867;2.321981424;72.97213622;76.59442724;18.73065015;8.111455108;4.303405573;27.46130031;301.4551084
16.05.2022;glasshouse;GH_AF;An;Mo;5;feuille;230110_IH_GLS_sample_2-33;5.305164319;18.87323944;26.50234742;2.159624413;15.68075117;1.056338028;13.92018779;87.91079812;27.44131455;8.192488263;1.338028169;28.84976526;237.2300469
16.05.2022;glasshouse;GH_AF;An;Mo;5;feuille;230110_IH_GLS_sample_2-34;7.863247863;28.13675214;48.1025641;2.905982906;26.18803419;1.504273504;22.32478632;105.2991453;31.93162393;8.444444444;1.196581197;29.36752137;313.2649573
16.05.2022;glasshouse;GH_AF;Ma;Mo;5;feuille;230110_IH_GLS_sample_2-35;4.17193426;24.07079646;31.17572693;2.275600506;19.5954488;1.845764855;23.31226296;47.73704172;25.84070796;5.486725664;4.804045512;23.86852086;214.1845765
