"","date_full","date","hour","sonde","value","variety","culture","bac","modality"
"152",2022-03-30 20:45:00,2022-03-30,1899-12-31 20:45:00,"T_1",21.340722,"Ext",NA,NA,"Ext"
"153",2022-03-30 21:00:00,2022-03-30,1899-12-31 21:00:00,"T_1",21.300746,"Ext",NA,NA,"Ext"
"154",2022-03-30 21:15:00,2022-03-30,1899-12-31 21:15:00,"T_1",21.2108,"Ext",NA,NA,"Ext"
"155",2022-03-30 21:30:00,2022-03-30,1899-12-31 21:30:00,"T_1",21.150836,"Ext",NA,NA,"Ext"
"156",2022-03-30 21:45:00,2022-03-30,1899-12-31 21:45:00,"T_1",21.100866,"Ext",NA,NA,"Ext"
"157",2022-03-30 22:00:00,2022-03-30,1899-12-31 22:00:00,"T_1",21.050896,"Ext",NA,NA,"Ext"
"158",2022-03-30 22:15:00,2022-03-30,1899-12-31 22:15:00,"T_1",20.990932,"Ext",NA,NA,"Ext"
"159",2022-03-30 22:30:00,2022-03-30,1899-12-31 22:30:00,"T_1",20.930968,"Ext",NA,NA,"Ext"
"160",2022-03-30 22:45:00,2022-03-30,1899-12-31 22:45:00,"T_1",20.990932,"Ext",NA,NA,"Ext"
"161",2022-03-30 23:00:00,2022-03-30,1899-12-31 23:00:00,"T_1",20.970944,"Ext",NA,NA,"Ext"
"162",2022-03-30 23:15:00,2022-03-30,1899-12-31 23:15:00,"T_1",20.950956,"Ext",NA,NA,"Ext"
"163",2022-03-30 23:30:00,2022-03-30,1899-12-31 23:30:00,"T_1",20.91098,"Ext",NA,NA,"Ext"
"164",2022-03-30 23:45:00,2022-03-30,1899-12-31 23:45:00,"T_1",20.930968,"Ext",NA,NA,"Ext"
"165",2022-03-30,2022-03-30,1899-12-31,"T_1",20.91098,"Ext",NA,NA,"Ext"
"166",2022-03-31 00:15:00,2022-03-31,1899-12-31 00:15:00,"T_1",20.880998,"Ext",NA,NA,"Ext"
"167",2022-03-31 00:30:00,2022-03-31,1899-12-31 00:30:00,"T_1",20.841022,"Ext",NA,NA,"Ext"
"168",2022-03-31 00:45:00,2022-03-31,1899-12-31 00:45:00,"T_1",20.771064,"Ext",NA,NA,"Ext"
"169",2022-03-31 01:00:00,2022-03-31,1899-12-31 01:00:00,"T_1",20.81104,"Ext",NA,NA,"Ext"
"170",2022-03-31 01:15:00,2022-03-31,1899-12-31 01:15:00,"T_1",20.771064,"Ext",NA,NA,"Ext"
"171",2022-03-31 01:30:00,2022-03-31,1899-12-31 01:30:00,"T_1",20.801046,"Ext",NA,NA,"Ext"
"172",2022-03-31 01:45:00,2022-03-31,1899-12-31 01:45:00,"T_1",20.751076,"Ext",NA,NA,"Ext"
"173",2022-03-31 02:00:00,2022-03-31,1899-12-31 02:00:00,"T_1",20.741082,"Ext",NA,NA,"Ext"
"174",2022-03-31 02:15:00,2022-03-31,1899-12-31 02:15:00,"T_1",20.731088,"Ext",NA,NA,"Ext"
"175",2022-03-31 02:30:00,2022-03-31,1899-12-31 02:30:00,"T_1",20.681118,"Ext",NA,NA,"Ext"
"176",2022-03-31 02:45:00,2022-03-31,1899-12-31 02:45:00,"T_1",20.61116,"Ext",NA,NA,"Ext"
"177",2022-03-31 03:00:00,2022-03-31,1899-12-31 03:00:00,"T_1",20.56119,"Ext",NA,NA,"Ext"
"178",2022-03-31 03:15:00,2022-03-31,1899-12-31 03:15:00,"T_1",20.581178,"Ext",NA,NA,"Ext"
"179",2022-03-31 03:30:00,2022-03-31,1899-12-31 03:30:00,"T_1",20.56119,"Ext",NA,NA,"Ext"
"180",2022-03-31 03:45:00,2022-03-31,1899-12-31 03:45:00,"T_1",21.190812,"Ext",NA,NA,"Ext"
"181",2022-03-31 04:00:00,2022-03-31,1899-12-31 04:00:00,"T_1",21.06089,"Ext",NA,NA,"Ext"
"182",2022-03-31 04:15:00,2022-03-31,1899-12-31 04:15:00,"T_1",20.930968,"Ext",NA,NA,"Ext"
"183",2022-03-31 04:30:00,2022-03-31,1899-12-31 04:30:00,"T_1",20.920974,"Ext",NA,NA,"Ext"
"184",2022-03-31 04:45:00,2022-03-31,1899-12-31 04:45:00,"T_1",20.970944,"Ext",NA,NA,"Ext"
"185",2022-03-31 05:00:00,2022-03-31,1899-12-31 05:00:00,"T_1",21.020914,"Ext",NA,NA,"Ext"
"186",2022-03-31 05:15:00,2022-03-31,1899-12-31 05:15:00,"T_1",21.080878,"Ext",NA,NA,"Ext"
"187",2022-03-31 05:30:00,2022-03-31,1899-12-31 05:30:00,"T_1",21.150836,"Ext",NA,NA,"Ext"
"188",2022-03-31 05:45:00,2022-03-31,1899-12-31 05:45:00,"T_1",21.230788,"Ext",NA,NA,"Ext"
"189",2022-03-31 06:00:00,2022-03-31,1899-12-31 06:00:00,"T_1",21.300746,"Ext",NA,NA,"Ext"
"190",2022-03-31 06:15:00,2022-03-31,1899-12-31 06:15:00,"T_1",21.350716,"Ext",NA,NA,"Ext"
"191",2022-03-31 06:30:00,2022-03-31,1899-12-31 06:30:00,"T_1",21.380698,"Ext",NA,NA,"Ext"
